Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Banana,2010,Whole Year ,Assam,47628,653502,2578.5,7911487.08,11430.72,13.76444444
Banana,2010,Whole Year ,Andhra Pradesh,58876,1920403,1297,9779892.36,14130.24,31.56263158
Banana,2010,Whole Year ,Karnataka,65767,1536239,1317.7,10924556.37,15784.08,23.71172414
Banana,2010,Whole Year ,Kerala,58671.14,483667,3131.8,9745863.065,14081.0736,8.239285714
Banana,2010,Kharif     ,Meghalaya,6795,79954,3119.7,1128717.45,1630.8,10.29285714
Banana,2011,Kharif     ,Puducherry,266,3263,1434.5875,44560.32,87.78,10.90333333
Banana,2011,Whole Year ,Assam,47563,729102,1743.4,7967753.76,15695.79,14.98222222
Banana,2011,Whole Year ,Andhra Pradesh,62103,2308295,861.9,10403494.56,20493.99,35.52157895
Banana,2011,Whole Year ,Karnataka,69256,1730522,1178.986364,11601765.12,22854.48,25.06172414
Banana,2011,Whole Year ,Kerala,59069.4,514054,3035.1,9895305.888,19492.902,8.229285714
Banana,2011,Kharif     ,Meghalaya,6919,82125,4083.104545,1159070.88,2283.27,10.37
Banana,2011,Whole Year ,Tamil Nadu,103107,4505435,926.5,17272484.64,34025.31,43.34580645
Banana,2012,Whole Year ,Assam,47063,763234,2167.5,7097100.4,14589.53,15.99074074
Banana,2012,Whole Year ,Kerala,61011,515607,2187.6,9200458.8,18913.41,8.320714286
Banana,2012,Kharif     ,Meghalaya,6992,84613,2945.3,1054393.6,2167.52,10.55571429
Banana,2013,Whole Year ,Andhra Pradesh,60626,1888161,1062.3,8759850.74,16369.02,31.62769231
Banana,2013,Whole Year ,Assam,50806,857720,1797.7,7340958.94,13717.62,16.40037037
Banana,2013,Whole Year ,Goa,2324,26308,3642.6,335794.76,627.48,11.315
Banana,2013,Whole Year ,Kerala,62261,531299,3255.4,8996091.89,16810.47,8.377857143
Banana,2013,Kharif     ,Meghalaya,7039,86432,2448.4,1017065.11,1900.53,10.12363636
Banana,2013,Whole Year ,Tamil Nadu,92463,3840375,740.9,13359978.87,24965.01,42.13096774
Banana,2014,Whole Year ,Andhra Pradesh,61607,1945126,687.6,9300192.72,20330.31,31.49384615
Banana,2014,Whole Year ,Assam,51279,865669,1899,7741077.84,16922.07,16.40037037
Banana,2014,Whole Year ,Goa,2380,26882,3491.2,359284.8,785.4,11.29
Banana,2014,Whole Year ,Kerala,61936,545431,3046.4,9349858.56,20438.88,8.282857143
Banana,2014,Kharif     ,Meghalaya,7072,87186,3484.4,1067589.12,2333.76,10.16727273
Banana,2014,Whole Year ,Tamil Nadu,91410,3725937,911.3,13799253.6,30165.3,42.5
Banana,2015,Whole Year ,Andhra Pradesh,59428,2322913,940.7,9384275.48,19611.24,39.59461538
Banana,2015,Kharif     ,Puducherry,246,6235,1980.6,38845.86,81.18,15.98666667
Banana,2015,Whole Year ,Assam,51103,882706,2155.3,8069674.73,16863.99,16.6337037
Banana,2015,Kharif     ,Meghalaya,7112,88709,3870.8,1123055.92,2346.96,10.28909091
Banana,2015,Whole Year ,Goa,2414,27302,2587.1,381194.74,796.62,11.315
Banana,2015,Whole Year ,Kerala,59834.61,536155,2602.9,9448483.265,19745.4213,8.779285714
Banana,2015,Whole Year ,Tamil Nadu,94214,3610173,1201.9,14877332.74,31090.62,38.35645161
Banana,2016,Whole Year ,Andhra Pradesh,55743,2303705,890,8542614.75,19510.05,41.42769231
Banana,2016,Kharif     ,Puducherry,252,3052,1391.3,38619,88.2,13.02666667
Banana,2016,Whole Year ,Assam,49266,854853,2296.8,7550014.5,17243.1,16.79111111
Banana,2016,Kharif     ,Meghalaya,7240,94295,3837.1,1109530,2534,10.72545455
Banana,2016,Whole Year ,Goa,2435,26908,3266.9,373163.75,852.25,11.1
Banana,2016,Whole Year ,Kerala,57158,489322,2924.3,8759463.5,20005.3,8.442857143
Banana,2016,Whole Year ,Tamil Nadu,90993,3028869,912.4,13944677.25,31847.55,33.24096774
Banana,2017,Whole Year ,Andhra Pradesh,55130,5961326,868.2,8679667.2,20949.4,116.2230769
Banana,2017,Kharif     ,Puducherry,249,2946,1582.4,39202.56,94.62,11.33333333
Banana,2017,Whole Year ,Assam,53082,913272,2098.563636,8357230.08,20171.16,16.84185185
Banana,2017,Kharif     ,Meghalaya,7264,94603,4472.3,1143644.16,2760.32,10.72727273
Banana,2017,Whole Year ,Goa,2428,26975,2772.5,382264.32,922.64,11.115
Banana,2017,Whole Year ,Kerala,62108,565829,2664.8,9778283.52,23601.04,8.570714286
Banana,2017,Whole Year ,Tamil Nadu,78482,3044122,970.9,12356206.08,29823.16,37.84677419
Banana,2018,Whole Year ,Andhra Pradesh,59098,6223680,1220.5,9585695.6,20684.3,126.3876923
Banana,2018,Kharif     ,Puducherry,262,9124,1693.9,42496.4,91.7,24.5
Banana,2018,Whole Year ,Assam,51113,917792,2372.9,8290528.6,17889.55,17.68037037
Banana,2018,Kharif     ,Meghalaya,7273,94721,5649.1,1179680.6,2545.55,10.72727273
Banana,2018,Whole Year ,Goa,2411,26979,4406,391064.2,843.85,11.18
Banana,2018,Whole Year ,Kerala,52898.61,429061,2989.7,8580154.542,18514.5135,7.930714286
Banana,2018,Whole Year ,Tamil Nadu,87514,3483248,986.2,14194770.8,30629.9,37.39125
Banana,2019,Whole Year ,Andhra Pradesh,97695,5861700,899.2,16780093.2,36147.15,60
Banana,2019,Kharif     ,Puducherry,273,16637,1317,46890.48,101.01,32.76666667
Banana,2019,Whole Year ,Assam,49445,906683,2084.7,8492673.2,18294.65,18.07555556
Banana,2019,Kharif     ,Meghalaya,7284,94870,3844.4,1251099.84,2695.08,10.73090909
Banana,2019,Whole Year ,Goa,2460,30898,4489.5,422529.6,910.2,13.095
Banana,2019,Whole Year ,Kerala,60678,548425,3119.2,10422053.28,22450.86,8.815
Banana,2019,Whole Year ,Tamil Nadu,92440,3987895,910.1,15877494.4,34202.8,42.7084375
Banana,1997,Whole Year ,Bihar,18197,440763,1303.7,1731808.49,5641.07,24.0412
Banana,1997,Whole Year ,Gujarat,19300,1108400,798.9,1836781,5983,55.276
Banana,1998,Whole Year ,Bihar,17743,323667,1332.5,1753008.4,5145.47,17.85958333
Banana,1998,Whole Year ,Gujarat,18400,1204800,775.6,1817920,5336,63.259
Banana,1998,Whole Year ,Tamil Nadu,74681,3649318,1077.1,7378482.8,21657.49,44.85214286
Banana,1999,Whole Year ,Bihar,15386,207607,1402.7,1632916.18,4154.22,12.55909091
Banana,1999,Whole Year ,Gujarat,16700,1043400,458.9,1772371,4509,61.247
Banana,1999,Whole Year ,Karnataka,29043,671891,1203.8,3082333.59,7841.61,23.41576923
Banana,1999,Whole Year ,Tamil Nadu,86449,2762324,922.8,9174832.37,23341.23,29.60071429
Banana,2000,Whole Year ,Bihar,16186,339988,1207,1588979.62,4208.36,17.94875
Banana,2000,Whole Year ,Gujarat,22800,1277100,379.7,2238276,5928,53.03111111
Banana,2000,Whole Year ,Tamil Nadu,77485,2473512,971.1,7606702.45,20146.1,29.60107143
Banana,2001,Whole Year ,Bihar,16263,355042,1247,1660940.19,4228.38,21.29136364
Banana,2001,Whole Year ,Gujarat,24400,1473800,666.5,2491972,6344,61.91875
Banana,2001,Whole Year ,Madhya Pradesh,18145,564818,955,1853148.85,4717.7,26.1695
Banana,2002,Whole Year ,Bihar,17307,340338,1105.8,1638453.69,4326.75,22.17956522
Banana,2002,Whole Year ,Haryana,154,0,353.9,14579.18,38.5,0
Banana,2002,Whole Year ,Karnataka,39813,681663,860.8,3769096.71,9953.25,16.96518519
Banana,2002,Whole Year ,Madhya Pradesh,16117,363109,800.8,1525796.39,4029.25,17.72565217
Banana,2002,Whole Year ,Meghalaya,5344,65659,4355.3,505916.48,1336,11.42714286
Banana,2003,Whole Year ,Bihar,13007,215248,1353.9,1287432.86,3121.68,19.39208333
Banana,2003,Whole Year ,Gujarat,28200,2027400,902.5,2791236,6768,65.116
Banana,2003,Whole Year ,Haryana,52,0,592.3,5146.96,12.48,0
Banana,2003,Whole Year ,Madhya Pradesh,15985,457194,1163,1582195.3,3836.4,17.95652174
Banana,2003,Whole Year ,Maharashtra,57700,3634720,1037.4,5711146,13848,57.56857143
Banana,2003,Whole Year ,Manipur,1950,15308,687.7,193011,468,7.851111111
Banana,2004,Whole Year ,Andhra Pradesh,40906,980481,781.8,4431756.04,8590.26,26.37047619
Banana,2004,Whole Year ,Bihar,14784,189572,1147.8,1601698.56,3104.64,14.46545455
Banana,2004,Whole Year ,Gujarat,32200,1931400,719.8,3488548,6762,59.4
Banana,2005,Whole Year ,Bihar,15596,239311,907.8,1870272.32,3275.16,17.24727273
Banana,2005,Whole Year ,Gujarat,30700,2101700,942.4,3681544,6447,66.87090909
Banana,2006,Whole Year ,Gujarat,26600,1891800,1056.2,3397086,5852,57.65846154
Banana,2006,Whole Year ,Madhya Pradesh,14836,469134,1072.3,1894705.56,3263.92,21.7195
Banana,2006,Whole Year ,Uttar Pradesh,2002,77709,590.5,255675.42,440.44,38.84296296
Banana,2007,Whole Year ,Bihar,17872,233609,1600.2,2384124.8,2859.52,15.2126087
Banana,2007,Whole Year ,Gujarat,31200,2033100,1021.6,4162080,4992,57.96166667
Banana,2007,Whole Year ,Madhya Pradesh,7543,470299,740.4,1006236.2,1206.88,43.1125
Banana,2008,Whole Year ,Gujarat,28200,2002900,746.1,4033728,2538,72.95916667
Banana,2008,Whole Year ,Madhya Pradesh,7847,397231,895,1122434.88,706.23,33.19923077
Banana,2008,Whole Year ,Manipur,4991,64424,1134.8,713912.64,449.19,12.91
Banana,2008,Summer     ,Uttar Pradesh,1991,75867,891.6,284792.64,179.19,38.08033333
Banana,2009,Whole Year ,Gujarat,22100,1605500,618,3443622,3757,65.11
Banana,2009,Whole Year ,Manipur,5841,60933,992.5,910144.62,992.97,10.64666667
Banana,2009,Summer     ,Uttar Pradesh,2336,96059,585.8,363995.52,397.12,41.10410256
Banana,2009,Whole Year ,Madhya Pradesh,8040,501350,904.1,1252792.8,1366.8,44.35692308
Banana,2010,Whole Year ,Gujarat,23500,1650300,1107.5,3903585,5640,70.365
Banana,2010,Whole Year ,Madhya Pradesh,8102,433263,856.3,1345823.22,1944.48,34.189375
Banana,2010,Whole Year ,Manipur,5899,76422,2160.5,979882.89,1415.76,12.94888889
Banana,2011,Whole Year ,Gujarat,28600,2049900,890.5,4791072,9438,63.306
Banana,2011,Whole Year ,Madhya Pradesh,16990,599932,852.6,2846164.8,5606.7,19.14631579
Banana,2011,Whole Year ,Manipur,6279,81942,1533.561905,1051858.08,2072.07,13.05444444
Banana,2011,Summer     ,Uttar Pradesh,2175,95023,777.4,364356,717.75,43.67269231
Banana,2012,Whole Year ,Gujarat,28100,2000600,460.6,4237480,8711,62.463
Banana,2012,Whole Year ,Madhya Pradesh,18019,638870,1049.5,2717265.2,5585.89,13.7473913
Banana,2012,Whole Year ,Manipur,6581,88186,1176.7,992414.8,2040.11,13.4
Banana,2012,Summer     ,Uttar Pradesh,2359,105337,746.3,355737.2,731.29,44.695
Banana,2013,Whole Year ,Gujarat,26721,1944633,1006.5,3860917.29,7214.67,71.54363636
Banana,2013,Whole Year ,Madhya Pradesh,18637,1510351,1451.4,2692860.13,5031.99,41.16705882
Banana,2013,Whole Year ,Manipur,6700,90452,1428.8,968083,1809,13.5
Banana,2013,Whole Year ,Telangana,1522,47401,1348.7,219913.78,410.94,31.14714286
Banana,2013,Summer     ,Uttar Pradesh,2636,114776,995.2,380875.64,711.72,43.58692308
Banana,2014,Whole Year ,Gujarat,26989,1990076,605.6,4074259.44,8906.37,67.33181818
Banana,2014,Whole Year ,Manipur,6993,94222,987.5,1055663.28,2307.69,13.52111111
Banana,2014,Kharif     ,Telangana,1707,71988,746.4,257688.72,563.31,42.26375
Banana,2014,Summer     ,Uttar Pradesh,2441,110118,616.4,368493.36,805.53,45.10709677
Banana,2015,Whole Year ,Gujarat,24439,1768164,584.3,3859162.49,8064.87,72.35545455
Banana,2015,Whole Year ,Madhya Pradesh,22631.6,1535834,1000.7,3573755.956,7468.428,44.46521739
Banana,2015,Whole Year ,Manipur,6952,93946,1329.1,1097790.32,2294.16,13.58
Banana,2015,Kharif     ,Telangana,1756,84008,747.9,277289.96,579.48,48.41333333
Banana,2015,Summer     ,Uttar Pradesh,4582,203406,596.7,723543.62,1512.06,44.39435897
Banana,2016,Whole Year ,Gujarat,28500,2332252,710.5,4367625,9975,82.90272727
Banana,2016,Whole Year ,Madhya Pradesh,26969.8,1873689,1048.4,4133121.85,9439.43,44.61416667
Banana,2016,Whole Year ,Manipur,8194,109822,2039.8,1255730.5,2867.9,13.55111111
Banana,2016,Kharif     ,Telangana,1579,72995,942.6,241981.75,552.65,45.93
Banana,2016,Summer     ,Uttar Pradesh,3376,186413,965.3,517372,1181.6,55.18416667
Banana,2017,Whole Year ,Gujarat,29630,2125489,814.8,4664947.2,11259.4,71.83
Banana,2017,Whole Year ,Madhya Pradesh,26375.05,1834029,800,4152487.872,10022.519,47.73208333
Banana,2017,Whole Year ,Manipur,6932,93477,1780,1091374.08,2634.16,13.48444444
Banana,2017,Kharif     ,Telangana,1717,110607,815.7,270324.48,652.46,64.51083333
Banana,2017,Summer     ,Uttar Pradesh,69378,3172335,652.1,10922872.32,26363.64,45.97483871
Banana,2018,Whole Year ,Gujarat,36405,2815267,1125.4,5904891,12741.75,77.81625
Banana,2018,Whole Year ,Madhya Pradesh,26541.39,1853026,1102.2,4305013.458,9289.4865,48.04833333
Banana,2018,Whole Year ,Manipur,6584,91375,1196.9,1067924.8,2304.4,13.71111111
Banana,2018,Kharif     ,Telangana,1518,93466,1350.3,246219.6,531.3,61.47185185
Banana,2018,Summer     ,Uttar Pradesh,70471,3222568,792.8,11430396.2,24664.85,45.99080645
Banana,2019,Whole Year ,Gujarat,30226,2255336,1067.8,5191617.76,11183.62,73.76285714
Banana,2019,Whole Year ,Madhya Pradesh,26634.09,1847636,1446.7,4574671.298,9854.6133,47.165
Banana,2019,Kharif     ,Telangana,1670,98707,1031.7,286839.2,617.9,59.12423077
Banana,2019,Summer     ,Uttar Pradesh,72585,3332135,814.5,12467199.6,26856.45,46.33580645
Banana,2002,Whole Year ,Puducherry,274,7965,1434.5875,25939.58,68.5,21.5625
Banana,2004,Whole Year ,Uttar Pradesh,1615,58736,704,174969.1,339.15,36.31133333
Banana,2005,Whole Year ,Uttar Pradesh,1991,75867,751.9,238760.72,418.11,38.08033333
Banana,2012,Kharif     ,Puducherry,265,10901,1098.3,39962,82.15,30.195
Banana,2013,Kharif     ,Puducherry,224,7172,1083.2,32365.76,60.48,20.655
Banana,2014,Kharif     ,Puducherry,250,7321,1330,37740,82.5,24.245
Banana,1997,Whole Year ,Manipur,1,12,2053.3,95.17,0.31,12
Banana,1998,Autumn     ,Manipur,1280,16460,1855,126464,371.2,12.72
Banana,1998,Rabi       ,Manipur,660,8490,1855,65208,191.4,12.894
Banana,1998,Summer     ,Manipur,20,260,1855,1976,5.8,13
Banana,1998,Winter     ,Manipur,940,12090,1855,92872,272.6,12.87833333
Banana,1999,Whole Year ,Manipur,3510,45140,2092.7,372516.3,947.7,12.86
Banana,2000,Whole Year ,Manipur,3420,43980,1969.7,335741.4,889.2,12.83875
Banana,2001,Whole Year ,Manipur,4420,56840,2013.1,451414.6,1149.2,12.87375
Banana,2002,Whole Year ,Manipur,4270,14361,1743.7,404240.9,1067.5,6.934444444
Banana,2004,Whole Year ,Manipur,3870,49770,1613.3,419275.8,812.7,12.88111111
Banana,2004,Whole Year ,Puducherry,302,10208,1434.5875,32718.68,63.42,29.17666667
Banana,2005,Whole Year ,Manipur,4420,56850,1585.4,530046.4,928.2,12.8775
Banana,2005,Whole Year ,Puducherry,316,10382,1434.5875,37894.72,66.36,22.33333333
Banana,2006,Summer     ,Manipur,1230,15820,1533.561905,157083.3,270.6,12.91571429
Banana,2006,Whole Year ,Manipur,4200,54020,1533.561905,536382,924,12.8725
Banana,2007,Whole Year ,Manipur,9360,120380,1435.7,1248624,1497.6,12.88444444
Coconut ,1997,Whole Year ,Assam,19656,126905000,2051.4,1870661.52,6093.36,5238.051739
Coconut ,1997,Whole Year ,Kerala,884344,5210000000,3252.4,84163018.48,274146.64,5376.054286
Coconut ,1997,Whole Year ,West Bengal,24273,306202300,1852.9,2310061.41,7524.63,13003.78778
Coconut ,1998,Whole Year ,Assam,20166,149866000,2354.4,1992400.8,5848.14,6045.886957
Coconut ,1998,Whole Year ,Goa,24858,121000000,2964.9,2455970.4,7208.82,4867.65
Coconut ,1998,Whole Year ,Karnataka,310399,1611530000,1260.8,30667421.2,90015.71,4692.261111
Coconut ,1998,Whole Year ,Kerala,882288,5132000000,3151.5,87170054.4,255863.52,5304.749286
Coconut ,1998,Whole Year ,West Bengal,24616,318174400,2152.5,2432060.8,7138.64,12448.06222
Coconut ,1999,Whole Year ,Assam,20238,150062000,2201.8,2147858.94,5464.26,5672.116522
Coconut ,1999,Whole Year ,Goa,24975,121580000,3879.3,2650596.75,6743.25,4868.07
Coconut ,1999,Whole Year ,Kerala,925035,5680000000,2914.6,98173964.55,249759.45,5581.025714
Coconut ,1999,Whole Year ,Puducherry,2214,27816000,1434.5875,234971.82,597.78,12812.4475
Coconut ,1999,Whole Year ,West Bengal,24216,324305700,2318.1,2570044.08,6538.32,13592.12778
Coconut ,2000,Whole Year ,Andhra Pradesh,102646,1092707179,935.6,10076757.82,26687.96,9101.813684
Coconut ,2000,Whole Year ,Assam,20913,135910000,1965.5,2053029.21,5437.38,5771.352609
Coconut ,2000,Whole Year ,Goa,25025,125120000,3886.9,2456704.25,6506.5,4999.8
Coconut ,2000,Whole Year ,Karnataka,335996,1762403000,1213.3,32984727.32,87358.96,4673.661111
Coconut ,2000,Whole Year ,Kerala,925783,5536000000,2412.6,90884117.11,240703.58,5617.002143
Coconut ,2000,Whole Year ,Puducherry,2233,24698000,1434.5875,219213.61,580.58,11937.4475
Coconut ,2000,Whole Year ,West Bengal,24511,330524800,1907.7,2406244.87,6372.86,13234.92556
Coconut ,2001,Whole Year ,Andhra Pradesh,104244,1124969850,928.4,10646439.72,27103.44,9057.671111
Coconut ,2001,Whole Year ,Assam,21067,163597000,1824.7,2151572.71,5477.42,7700.721304
Coconut ,2001,Whole Year ,Goa,25025,125120000,2530.6,2555803.25,6506.5,4999.8
Coconut ,2001,Whole Year ,Karnataka,369828,1503638000,1002.9,37770533.64,96155.28,4164.951481
Coconut ,2001,Whole Year ,Kerala,905718,5479000000,2946.7,92500979.34,235486.68,5636.355
Coconut ,2001,Whole Year ,Puducherry,2282,22204000,1434.5875,233060.66,593.32,9725.08
Coconut ,2001,Whole Year ,West Bengal,38404,331603800,1556.6,3922200.52,9985.04,12368.60944
Coconut ,2002,Whole Year ,Andhra Pradesh,105291,1158625735,648.1,9967898.97,26322.75,9202.625556
Coconut ,2002,Whole Year ,Assam,20919,160277000,1973.6,1980401.73,5229.75,6959.633043
Coconut ,2002,Whole Year ,Goa,25068,122020000,2516.3,2373187.56,6267,4867.56
Coconut ,2002,Whole Year ,Kerala,899198,5709000000,2511.2,85127074.66,224799.5,5969.78
Coconut ,2002,Whole Year ,Tamil Nadu,345825,2860700000,315.9,32739252.75,86456.25,8497.531111
Coconut ,2002,Whole Year ,West Bengal,24976,324194500,1629.1,2364477.92,6244,12229.29167
Coconut ,2003,Whole Year ,Andhra Pradesh,103965,1195079360,826,10290455.7,24951.6,9524.628235
Coconut ,2003,Whole Year ,Assam,21309,154284000,2213.7,2109164.82,5114.16,6763.011739
Coconut ,2003,Whole Year ,Goa,25110,122220000,3011.6,2485387.8,6026.4,4867.38
Coconut ,2003,Whole Year ,Karnataka,375957,1529139000,867.6,37212223.86,90229.68,4165.193333
Coconut ,2003,Whole Year ,Kerala,898498,5876000000,2386,88933332.04,215639.52,6097.778571
Coconut ,2003,Whole Year ,Puducherry,2252,30732000,1434.5875,222902.96,540.48,12300.735
Coconut ,2003,Whole Year ,Tamil Nadu,352710,2560500000,345.6,34911235.8,84650.4,7781.805714
Coconut ,2003,Whole Year ,West Bengal,24443,317488500,1526.7,2419368.14,5866.32,12370.06944
Coconut ,2004,Whole Year ,Karnataka,383206,1551729000,1117.7,41516538.04,80473.26,4165.395185
Coconut ,2004,Whole Year ,Kerala,899267,6001000000,2880.2,97426586.78,188846.07,6112.145714
Coconut ,2004,Whole Year ,Tamil Nadu,357056,4097000000,1034,38683447.04,74981.76,10877.70276
Coconut ,2005,Whole Year ,Andhra Pradesh,104438,891991928,1075.5,12524204.96,21931.98,7717.767778
Coconut ,2005,Whole Year ,Assam,19057,204937000,2184.6,2285315.44,4001.97,8486.539565
Coconut ,2005,Whole Year ,Karnataka,395885,1606890000,1316.2,47474529.2,83135.85,4165.660741
Coconut ,2005,Whole Year ,Kerala,897833,6326000000,3030.9,107668133.4,188544.93,6500.859286
Coconut ,2005,Whole Year ,Tamil Nadu,370515,4867100000,1364.1,44432158.8,77808.15,11777.93172
